발생년,발생년월일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2018,2018021406,35,주,수,1,1,0,0,0,서울,서대문구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,950497.0,1954702.0,126.9392741,37.59038756
2018,2018090205,23,야,일,1,1,0,0,0,서울,용산구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,953337.0,1950150.0,126.9717317,37.54950802
2018,2018121522,35,야,토,1,1,0,0,0,서울,성북구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,956967.0,1954807.0,127.0125517,37.59165934
2018,2018082311,30,주,목,1,1,0,0,0,서울,강북구,차량단독,기타,기타,운전자법규위반,기타(운전자법규위반),단일로,기타단일로,승합차,승합차,없음,없음,958020.0,1959193.0,127.0242273,37.63123983
2018,2018071600,50,야,월,1,1,0,0,0,서울,강북구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,화물차,보행자,보행자,957606.0,1958258.0,127.0195897,37.62279351
2018,2018123004,19,야,일,1,1,0,0,0,서울,강북구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,957823.0,1957100.0,127.0221154,37.61236625
2018,2018012907,17,주,월,1,1,0,0,0,서울,광진구,차대사람,횡단중,횡단중,운전자법규위반,신호위반,단일로,기타단일로,화물차,화물차,보행자,보행자,963182.0,1948990.0,127.0832413,37.53949856
2018,2018051104,47,야,금,1,1,0,0,0,서울,마포구,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,951656.0,1949822.0,126.9527236,37.54646503
2018,2018042423,50,야,화,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,947686.0,1946843.0,126.9079958,37.51939806
2018,2018020407,7,주,일,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,운전자법규위반,신호위반,교차로,교차로내,승합차,승합차,보행자,보행자,946758.0,1944726.0,126.8976481,37.50026411
2018,2018112904,18,야,목,1,1,0,0,0,서울,성동구,차대사람,기타,기타,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,959955.0,1950388.0,127.0466383,37.55196461
2018,2018061711,5,주,일,1,1,0,0,0,서울,성동구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,자전거,자전거,자전거,자전거,958712.0,1949157.0,127.0326356,37.54081437
2018,2018010414,20,주,목,1,1,0,0,0,서울,동작구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,기타,기타,화물차,화물차,보행자,보행자,949202.0,1944843.0,126.9252888,37.50145641
2018,2018020612,0,주,화,1,1,0,0,0,서울,동작구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,950276.0,1945198.0,126.9374151,37.50471459
2018,2018080421,30,야,토,1,1,0,0,0,서울,중랑구,차대사람,보도통행중,보도통행중,운전자법규위반,신호위반,단일로,기타단일로,자전거,자전거,보행자,보행자,963551.0,1954643.0,127.087137,37.59046559
